"State	",Area,,,,,Production,,,,,Yield,,,,
"	",2017-18,2018-19,2019-20,2020-21,2021-22,2017-18,2018-19,2019-20,2020-21,2021-22,2017-18,2018-19,2019-20,2020-21,2021-22
"Andhra Pradesh	",43,86,48,38,24,34,43,31,28,18,791,500,646,737,750
"Arunachal Pradesh	",4.94,4.96,4.98,4.98,5.01,6.05,6.59,6.26,6.32,6.36,1226,1329,1257,1268,1270
"Assam	",45.77,44.73,42.9,43.82,44.2,40.64,40.23,38.55,39.86,39.32,888,899,899,910,890
"Bihar	",65.45,68.12,62.25,59.12,58.76,68.68,69.65,52.44,63.19,61.14,1049,1023,842,1069,1041
"Chhattisgarh	",241.26,198.27,187.22,163.85,169.28,135.22,119.08,72.7,100.9,78.37,560,601,388,616,463
"Dadra And Nagar Haveli	",,1.09,0.16,,0,,1.09,0.16,,,,1000,1000,,0
"Daman And Diu	",0,0,0.34,,0,0,0,0.34,,,0,0,1000,,0
"Goa	",5.35,6.03,4.4,3.84,3.8,4.64,6.18,3.86,3.75,3.03,867,1024,877,976,798
"Gujarat	",23,20.34,35.63,50.89,45.11,17,12.76,26.67,36.59,34.28,739,627,749,719,760
"Haryana	",2.5,3.3,2.4,2.72,4.8,2.5,3.6,2.4,3.13,5.57,1000,1091,1000,1151,1160
"Himachal Pradesh	",12.43,11.63,11.65,14.67,11.38,44.95,41.38,41.48,38.02,27.94,3616,3559,3562,2592,2456
"Jammu And Kashmir	",1.97,2.22,1.11,1,1.31,1.45,1.7,0.82,0.74,1.02,739,767,736,741,781
"Jharkhand	",79.79,64.11,79.85,79.99,84.11,85.44,72.34,89.33,84.61,83.51,1071,1128,1119,1058,993
"Karnataka	",148,131.1,98,145,151,90.4,15.3,68.6,92.3,92.9,611,117,700,637,615
"Kerala	",0,1.4,1.26,1.18,0.72,0,1.19,1.13,1.07,0.77,0,850,900,909,1065
Madhya Pradesh,373,90,75,86,136,378,67,59,90,112,1013,744,787,1047,824
"Maharashtra	",104,111.73,137.81,142.91,131.41,51.7,51.75,71.63,73.38,59.05,497,463,520,513,449
"Manipur	",24.68,27.1,21.51,24.58,26.6,23.13,25.6,19.84,22.79,24.91,937,945,922,927,936
"Meghalaya	",3.99,5.27,5.28,5.28,5.31,7.02,8.46,8.49,8.49,8.56,1760,1605,1608,1607,1612
"Mizoram	",1.18,1.67,1.92,2.06,2.07,1.85,2.51,2.67,2.96,3.02,1569,1501,1391,1437,1463
"Nagaland	",17.97,18.05,18.12,18.18,11.16,21.63,21.74,21.84,22.05,13.18,1204,1204,1205,1213,1181
"Odisha	",146.65,128.38,105.95,149.23,182.52,85.56,77.53,58.65,89.09,107.93,583,604,554,597,591
"Puducherry	",0.02,0.01,0.02,0,0.04,0.04,0.01,0.02,0,0.04,2733,1000,810,0,1000
"Punjab	",2,3.4,1.8,1.5,3.2,1.9,4.4,1.6,1.4,4.4,950,1294,889,933,1375
"Rajasthan	",17.07,15,17.18,13.75,16.31,41.52,27.93,36.89,26.16,37.85,2432,1863,2147,1902,2321
"Sikkim	",,,,,2.43,,,,,2.42,,,,,998
"Tamil Nadu	",77.96,114.16,116.19,106.12,102.89,57.88,81.33,86.34,74.14,65.98,742,712,743,699,641
"Telangana	",6,5,3,7,11,6,6,3,7,8,1000,1200,1000,1000,727
"Tripura	",3.87,4.28,4.12,3.95,4.5,3.43,3.59,3.67,3.44,3.9,887,840,889,870,866
"Uttarakhand	",5,5,8,7,6,5,5,7,6.16,5,1000,1000,875,880,833
"Uttar Pradesh	",294,333,344,361,391,432,539,565.8,562,635,1469,1619,1645,1557,1624
"West Bengal	",107.58,111.71,119.56,113.8,107.91,130.68,94.14,106.4,140.39,114.43,1215,843,890,1234,1060
"All India	",1858.41,1617.04,1559.6,1651.42,1743.81,1778.32,1450.08,1488.56,1627.92,1657.88,957,897,954,986,951
