"State		",Season,Area_2017-18,Area_2018-19,Area_2019-20,Area_2020-21,Area_2021-22,Production_2017-18,Production_2018-19,Production_2019-20,Production_2020-21,Production_2021-22,Yield_2017-18,Yield_2018-19,Yield_2019-20,Yield_2020-21,Yield_2021-22
"Andhra Pradesh	",Kharif,48,22,25,31,31,92.5,22.68,58.2,70.71,55.4,1927,1031,2328,2281,1787
"Bihar	",Kharif,4.38,3.11,3.16,4.22,2.89,4.97,3.53,3.58,4.78,3.29,1134,1134,1134,1134,1140
"Chhattisgarh	",Kharif,0,0.06,0,0.04,0.06,0,0.03,0,0.02,0.03,0,449,0,515,429
"Daman And Diu	",Kharif,0.43,0.5,0.33,0.5,0.5,0.58,0.65,0.37,0.75,0.76,1333,1306,1150,1509,1530
"Delhi	",Kharif,1.48,1.48,1.48,1.33,1.37,3.26,3.25,3.24,5.34,3.75,2197,2198,2197,4030,2747
"Gujarat	",Kharif,397,391.58,435.25,460.26,446.21,964.71,892.8,913.15,1008.89,1089.64,2430,2280,2098,2192,2442
"Haryana	",Kharif,450,424.7,492.8,569.2,483.1,720.9,878.28,1019.11,1350.14,1119.83,1602,2068,2068,2372,2318
"Himachal Pradesh	",Kharif,0.08,0.09,0.11,0.52,0.57,0.06,0.06,0.11,0.29,0.29,734,730,1020,557,512
"Jammu And Kashmir	",Kharif,12.62,24.36,9.78,13.14,8.7,7.44,13.59,5.82,6.47,5.17,590,558,595,492,595
"Jharkhand	",Kharif,0.61,0.13,0.29,0.13,0.14,0.35,0.08,0.2,0.08,0.09,576,578,711,643,618
"Karnataka	",Kharif,231,184.3,322,222,148,286.69,176.38,367.08,275.5,171.38,1241,957,1140,1241,1158
"Madhya Pradesh	",Kharif,310,327,295.89,327,343,755,628.17,656.58,737.71,868.82,2435,1921,2219,2256,2533
"Maharashtra	",Kharif,788,609.6,672.78,687.5,666.72,669.01,332.23,511.99,656.56,618.72,849,545,761,955,928
"Nagaland	",Kharif,0.7,0.71,0.71,0.71,0.65,0.71,0.72,0.72,0.72,0.49,1014,1014,1014,1014,752
"Odisha	",Kharif,1.76,2.16,1.87,1.27,1.56,1.09,1.34,1.16,0.79,0.96,619,622,620,622,615
"Puducherry	",Kharif,0.01,0.01,0.02,0.01,0.01,0.04,0.03,0.06,0.03,0.04,2786,2545,2591,2600,2643
"Punjab	",Kharif,1,1.1,0.5,0.4,1.2,0.6,0.72,0.32,0.26,0.76,598,651,635,640,635
"Rajasthan	",Kharif,4236.29,4180.2,4287.17,4348.4,3736.1,3753.35,3808.16,4685.88,4561.47,3739.84,886,911,1093,1049,1001
"Tamil Nadu	",Kharif,63.03,46.88,67.49,67.41,59.96,143.52,118,185.13,158.89,146.12,2277,2517,2743,2357,2437
"Telangana	",Kharif,9,8,9,10,4,9.51,3.98,10.42,9.3,4.04,1057,497,1158,930,1011
"Uttar Pradesh	",Kharif,925,877,917,907,905,1794.5,1779.43,1939.46,2014.45,1951.18,1940,2029,2115,2221,2156
"West Bengal	",Kharif,0.2,0.07,0.07,0.07,0.07,0.06,0.03,0.03,0.03,0.03,300,402,401,425,428
"All India	",Kharif,7480.6,7105.03,7542.68,7652.1,6840.8,9208.85,8664.13,10362.6,10863.17,9780.63,1231,1219,1374,1420,1430
