"State		",Season,Area_2017-18,Area_2018-19,Area_2019-20,Area_2020-21,Area_2021-22,Production_2017-18,Production_2018-19,Production_2019-20,Production_2020-21,Production_2021-22,Yield_2017-18,Yield_2018-19,Yield_2019-20,Yield_2020-21,Yield_2021-22
"Andhra Pradesh	",Rabi,520,478,459,469,445,588.64,242.82,559.06,532.78,455.24,1132,508,1218,1136,1023
"Arunachal Pradesh	",Rabi,0,2.59,0,0,0,0,0,0,0,0,0,0,0,0,0
"Assam	",Rabi,2.27,2.24,2.18,2.09,2.15,1.56,1.57,1.52,1.54,1.59,687,699,698,739,740
"Bihar	",Rabi,58.22,56.48,52.8,51.81,51.64,67.19,67.72,38.55,54.5,54.38,1154,1199,730,1052,1053
"Chhattisgarh	",Rabi,317.75,321.5,381.77,301.59,331.63,320.93,329.86,88.19,267.51,240.43,1010,1026,231,887,725
Dadra And Nagar Haveli,Rabi,0,0.11,0,0,0,0,0.15,0,0,0,0,1328,0,0,0
"Delhi	",Rabi,0.01,0,0,0,0,0.01,0,0,0,0,2000,2000,2000,2000,2000
"Gujarat	",Rabi,293,172.95,405.05,816.21,1101.56,376.51,234.87,635.12,1279.82,2101.78,1285,1358,1568,1568,1908
"Haryana	",Rabi,32,44.9,43.97,35.69,38,36,62.19,47.14,35.87,45.37,1125,1385,1072,1005,1194
"Himachal Pradesh	",Rabi,0.36,0.38,0.39,0.33,0.22,0.37,0.4,0.42,0.34,0.27,1042,1040,1070,1024,1231
"Jammu And Kashmir	",Rabi,0.02,0,0.01,0,0,0,0,0,0,0,217,0,300,0,0
"Jharkhand	",Rabi,232.68,189.67,230.07,265.9,260.28,285.74,221.16,275.4,334.24,308.69,1228,1166,1197,1257,1186
"Karnataka	",Rabi,1265,1128.6,864,713,712,783.04,574.46,675.65,445.63,490.57,619,509,782,625,689
"Kerala	",Rabi,1.79,0.69,0.6,0.61,0,1.72,0.55,0.45,0.51,0,965,790,757,837,0
"Madhya Pradesh	",Rabi,3590,3103,1926,2160,1936,4595.02,3996.66,2729.14,3214.08,2931.1,1280,1288,1417,1488,1514
"Maharashtra	",Rabi,2000.3,1694.2,2043.21,2231.3,2708.5,1834.28,1396.87,2239.36,2396.42,3101.23,917,825,1096,1074,1145
"Manipur	",Rabi,0.82,0.85,0.76,0.89,0.97,0.77,0.79,0.7,0.82,0.9,933,929,917,925,928
"Meghalaya	",Rabi,1.86,1.87,1.86,1.87,1.87,1.98,1.99,1.99,2,2,1066,1068,1072,1072,1072
"Nagaland	",Rabi,0.78,0.76,0.76,0.76,0.37,0.66,0.64,0.64,0.64,0.31,846,842,842,842,840
"Odisha	",Rabi,32.94,30.57,27.82,29.19,35.3,25.63,23.84,21.67,22.56,27.46,778,780,779,773,778
"Punjab	",Rabi,1.7,1.9,1.5,2,1.8,2.01,2.53,1.83,2.64,2.19,1181,1330,1219,1322,1214
"Rajasthan	",Rabi,1572.49,1596.75,2463.05,2113.14,2300.72,1688.85,1839.45,2657.63,2265.29,2684.93,1074,1152,1079,1072,1167
"Tamil Nadu	",Rabi,5.21,5.85,5.55,5.64,4.07,4.82,5.42,5.14,5.22,3.77,926,926,926,926,926
"Telangana	",Rabi,97,104,130,143,159,147.05,163.18,199.16,238.38,224.03,1516,1569,1532,1667,1409
"Tripura	",Rabi,0.24,0.26,0.29,0.14,0.07,0.19,0.17,0.18,0.09,0.05,791,665,619,636,634
"Uttarakhand	",Rabi,1,1,1,1,1,0.78,0.8,0.76,0.75,0.79,782,800,763,751,790
"Uttar Pradesh	",Rabi,501,572,621,611,608,578.66,727.58,851.39,759.47,818.37,1155,1272,1371,1243,1346
"West Bengal	",Rabi,32,35.91,36.1,39.77,39.95,36.8,42.33,47.4,50.07,48.17,1150,1179,1313,1259,1206
"All India	",Rabi,10560.43,9547.03,9698.75,9995.92,10740.1,11379.19,9937.99,11078.5,11911.18,13543.63,1078,1041,1142,1192,1261
