"State				",Season,Area_2017-18,Area_2018-19,Area_2019-20,Area_2020-21,Area_2021-22,Production_2017-18,Production_2018-19,Production_2019-20,Production_2020-21,Production_2021-22,Yield_2017-18,Yield_2018-19,Yield_2019-20,Yield_2020-21,Yield_2021-22
"Andhra Pradesh	",Kharif,30,15,37,3,3,30.54,1.95,38.89,4,2.38,1018,130,1051,1332,794
"Andhra Pradesh	",Rabi,110,141,118,117,74,269.94,228.14,350.22,407.39,257.22,2454,1618,2968,3482,3476
"Andhra Pradesh	",Total,140,156,155,120,77,300.48,230.09,389.11,411.39,259.61,2146,1475,2510,3428,3372
"Bihar	",Kharif,1.36,0.72,0.63,1.23,1.44,1.45,0.76,0.67,1.31,1.54,1066,1066,1067,1067,1067
"Chhattisgarh	",Kharif,3.59,3.47,2.9,2.06,1.09,5.32,3.42,4.07,2.73,0.91,1483,986,1403,1326,834
"Dadra And Nagar Haveli	",Kharif,0.01,0.19,0.01,,0,0.01,0.15,0.01,,0,2200,809,2200,,0
"Delhi	",Kharif,3.16,3.16,3.15,2.95,2.89,3.03,3.04,3,2.81,2.75,960,961,952,953,951
"Gujarat	",Kharif,67,39.12,28.64,26.46,28.09,93.33,52.26,43.53,39.37,40.25,1393,1336,1520,1488,1433
"Gujarat	",Rabi,24,36.38,20.28,14.61,14.67,31.7,44.2,23.63,18.06,17.3,1321,1215,1165,1236,1179
"Gujarat	",Total,91,75.5,48.92,41.07,42.76,125.04,96.47,67.16,57.43,57.55,1374,1278,1373,1398,1346
"Haryana	",Kharif,48,40.3,29.9,31.28,23.39,24.91,21.28,15.79,16.42,12.33,519,528,528,525,527
"Himachal Pradesh	",Kharif,0,0,0,0.02,0.01,0,0,0,0.01,0.01,0,0,0,435,560
"Jammu And Kashmir		",Kharif,0.06,0,0,,,0.04,0,0,,0,635,0,0,,
"Jharkhand	",Kharif,3.33,2.05,1.8,1.87,1.56,2.21,1.4,1.35,1.23,1.28,664,685,751,659,817
"Karnataka	",Kharif,92,108.3,127.6,88,75,160.26,156.39,176.98,176.53,121.28,1742,1444,1387,2006,1617
"Karnataka	",Rabi,996,835.05,699,662,540,980.06,735.3,810,727,610.2,984,881,1159,1098,1130
"Karnataka	",Total,1088,943.35,826.6,750,615,1140.33,891.69,986.98,903.53,731.48,1048,945,1194,1205,1189
"Kerala	",Kharif,0.17,0.06,0.07,0.04,0.03,0.14,0.04,0.05,0.03,0.04,799,751,800,833,1387
"	",Rabi,0,0.15,0.22,0.19,0.16,0,0.13,0.18,0.17,0.24,0,841,832,894,1460
"	",Total,0.17,0.21,0.29,0.23,0.19,0.14,0.17,0.24,0.2,0.28,799,817,825,883,1448
"Madhya Pradesh	",Kharif,270,75,108,112,123,570.12,164.18,165.13,217,236.04,2112,2189,1529,1938,1919
"Maharashtra	",Kharif,565,530.3,308.99,378.7,209.16,546.92,429.65,216.29,381.35,161.68,968,810,700,1007,773
"Maharashtra	",Rabi,1666.3,1101.3,1981.59,1700.2,1439.5,1059.77,442.83,1591.22,1365.26,1396.32,636,402,803,803,970
"Maharashtra	",Total,2231.3,1631.6,2290.58,2078.9,1648.66,1606.69,872.48,1807.51,1746.61,1558,720,535,789,840,945
"Nagaland	",Kharif,0.27,0.28,0.28,0.28,0.27,0.26,0.27,0.27,0.27,0.25,963,964,964,964,929
"Odisha	",Kharif,5.62,7.19,5.81,5.5,6.14,3.55,4.56,3.68,3.47,3.86,632,634,633,631,629
"Puducherry	",Kharif,,,,,0,,,,,0.01,,,,,2500
"Rajasthan	",Kharif,516.04,564.39,642.84,559.69,619.98,300.85,469.57,455.77,589.91,535.66,583,832,709,1054,864
"Tamil Nadu	",Kharif,241.36,182.55,231.84,211.8,185.11,274.91,209.75,276.82,240.18,198.07,1139,1149,1194,1134,1070
"Tamil Nadu	",Rabi,144.28,203.3,218.16,193.62,212.12,155.68,254.73,243.25,187.04,163.97,1079,1253,1115,966,773
"Tamil Nadu	",Total,385.64,385.85,450,405.42,397.23,430.59,464.48,520.07,427.22,362.04,1117,1204,1156,1054,911
"Telangana	",Kharif,43,35,57,43,15,40.59,32.59,67.49,34.87,9.93,944,931,1184,811,662
"Telangana	",Rabi,24,21,31,48,54,32.42,34.71,56.37,120.82,107.14,1351,1653,1818,2517,1984
"Telangana	",Total,67,56,88,91,69,73.02,67.3,123.86,155.69,117.07,1090,1202,1407,1711,1697
Tripura,Kharif,0.86,0.56,0.55,0.19,0,0.7,0.45,0.45,0.16,0,819,799,826,852,0
Tripura,Rabi,0,0.4,0.34,,0,0,0.32,0.27,,0,0,801,803,,0
Tripura,Total,0.86,0.96,0.88,0.19,0,0.7,0.77,0.72,0.16,0,819,800,817,852,0
"Uttar Pradesh	",Kharif,169,147,168,174,171,214.63,183.31,226.63,274.57,269.84,1270,1247,1349,1578,1578
"West Bengal	",Kharif,0.04,0.06,0.18,0.19,0.19,0.02,0.03,0.1,0.1,0.1,450,469,528,538,537
"All India	",Kharif,2059.87,1754.69,1755.17,1642.26,1466.36,2273.81,1735.04,1696.97,1986.34,1598.19,1104,989,967,1210,1090
"All India	",Rabi,2964.58,2338.59,3068.59,2735.62,2334.45,2529.58,1740.36,3075.13,2825.73,2552.38,853,744,1002,1033,1093
"All India	",Total,5024.45,4093.29,4823.76,4377.87,3800.81,4803.38,3475.41,4772.11,4812.07,4150.57,956,849,989,1099,1092
