"State			",Season,Area_2017-18,Area_2018-19,Area_2019-20,Area_2020-21,Area_2021-22,Production_2017-18,Production_2018-19,Production_2019-20,Production_2020-21,Production_2021-22,Yield_2017-18,Yield_2018-19,Yield_2019-20,Yield_2020-21,Yield_2021-22
"Andaman And Nicobar Islands	",Kharif,5.38,5.42,5.7,6.3,6.3,16.88,11.49,17.98,13.45,13.46,3135,2118,3154,2137,2137
"Andhra Pradesh	",Kharif,1718,1750,1740,1699,1716,5625.61,5747.04,5733.48,4778.45,4869.08,3275,3284,3295,2813,2837
"Arunachal Pradesh	",Kharif,199.27,210.98,201.61,201.32,206.21,320.79,345.42,334.84,337.32,346.11,1610,1637,1661,1676,1678
"Assam	",Kharif,2070.08,2061.78,1936.85,2026.57,2030.91,4194.3,4182.97,4090.33,4294.26,3711.35,2026,2029,2112,2119,1827
"Bihar	",Kharif,3476.71,3338.66,3043.9,3165.79,3219.73,8499.02,6497.67,6612.09,6846.21,7815.9,2445,1946,2172,2163,2427
"Chandigarh	",Kharif,0,0,0.88,0.09,0.09,0,0,4.64,0.46,0.48,733,3533,5273,5273,5240
"Chhattisgarh	",Kharif,3992.4,3821.87,3866.18,3997.09,3946.46,5275.98,6856.9,7144.26,7528.65,8443.84,1322,1794,1848,1884,2140
"Dadra And Nagar Haveli	",Kharif,15.11,15.44,14.36,16.7,16.7,32.81,31.51,29.3,34.34,34.21,2172,2041,2040,2056,2049
"Daman And Diu	",Kharif,2.22,1.93,1.28,1.93,1.93,2.76,2.47,2.4,3.55,3.54,1244,1281,1883,1841,1832
"Delhi	",Kharif,10.53,10.51,10.49,10.47,10.4,23.3,23.22,23.14,28.01,25.62,2213,2210,2207,2676,2464
"Goa	",Kharif,27.22,25.84,24.41,23.44,23.29,71.29,70.26,60.56,61.57,65.58,2619,2719,2481,2627,2816
"Gujarat	",Kharif,1595,1563.9,1625.89,1629.27,1608.63,3304.21,3325.07,3238.25,3446.61,3621.4,2072,2126,1992,2115,2251
"Haryana	",Kharif,1926,1917.9,1975.7,1934.31,1792.46,5288.2,5431.24,5876.19,5811.51,5765.73,2746,2832,2974,3004,3217
"Himachal Pradesh	",Kharif,358.42,365.41,367.14,339.4,332.54,831.18,846.4,880.7,872.82,951.12,2319,2316,2399,2572,2860
"Jammu And Kashmir	",Kharif,594.96,553.71,566.88,578.01,572.19,1069.74,1205.38,1134.2,1098.72,1080.06,1798,2177,2001,1901,1888
"Jharkhand	",Kharif,2042.93,1798.45,1623.52,1717.59,1738.33,4675.33,3350.58,3521.88,3393.95,3555.07,2289,1863,2169,1976,2045
"Karnataka	",Kharif,3055,3055.01,3342.6,3691,3504.4,7385.67,7363.44,8261.1,9661.36,9083.4,2418,2410,2471,2618,2592
"Kerala	",Kharif,145.29,152.41,152.65,157.75,150.51,387.12,430.06,449.19,470.28,342.09,2664,2822,2943,2981,2273
"Madhya Pradesh	",Kharif,4068,4120,3852.89,3980,4064,8968.12,9390.75,9565.64,9104.58,10603.64,2205,2279,2483,2288,2609
"Maharashtra	",Kharif,3608,3392.2,3354.77,3446.4,3378.07,6177.89,5385.16,4591.27,6733.37,6390.31,1712,1588,1369,1954,1892
"Manipur	",Kharif,49.65,38.5,33.38,49.28,20.56,176.8,88.78,122.58,122.49,50.55,3561,2306,3672,2486,2459
"Meghalaya	",Kharif,118.53,118.37,118.42,115.05,115.95,285.52,204.36,284.86,277.31,278.84,2409,1726,2406,2410,2405
"Mizoram	",Kharif,41.1,40.82,40.6,41.2,40.53,67.39,69.35,69.35,72.93,70.41,1640,1699,1708,1770,1737
"Nagaland	",Kharif,282.26,282.86,285.19,286.94,169.51,478.94,483.97,490.38,494.43,218.98,1697,1711,1719,1723,1292
"Odisha	",Kharif,3668.41,3713.18,3785.68,3848.78,3848.2,6020.37,6969.58,7651.49,7932.03,8497.06,1641,1877,2021,2061,2208
"Puducherry	",Kharif,13.2,13.46,13.9,4.44,4.37,27.34,46.99,43.7,14.74,12.87,2071,3490,3145,3322,2943
"Punjab	",Kharif,3180,3213.1,3035.1,3036.2,3075.4,13805.1,13217.44,12189.98,13178.99,13299.66,4341,4114,4016,4341,4325
"Rajasthan	",Kharif,5809.34,5797.67,6034.81,6122.25,5495.2,6252.45,6633.99,6762.5,7976.34,6713.53,1076,1144,1121,1303,1222
"Sikkim	",Kharif,50.43,49.15,49.35,49.15,48.93,88.13,86.15,86.41,86.28,86.02,1748,1753,1751,1756,1758
"Tamil Nadu	",Kharif,2253.61,2071.93,2320.74,2471.91,2568.26,8226.11,7372.22,8529.58,8496.93,9273.86,3650,3558,3675,3437,3611
"Telangana	",Kharif,1563,1659,1556,1940,2683,4594.85,5494.42,5998.4,5884.67,9167.08,2940,3312,3855,3033,3417
"Tripura		",Kharif,216.79,213.31,210.25,214.42,206.99,597.21,578.99,600.72,611.12,613.59,2755,2714,2857,2850,2964
"Uttarakhand	",Kharif,423,408,388,396,387,865.05,780.57,829.2,899.69,877.03,2045,1913,2137,2272,2266
"Uttar Pradesh	",Kharif,7555,7423,7469,7454,7450,16667.11,18818.89,19139.31,19365.24,18875.95,2206,2535,2562,2598,2534
"West Bengal	",Kharif,3929.13,4295.56,4278.43,4359.18,4344.41,10857.9,12081.73,11521.34,12025.34,12371.35,2763,2813,2693,2759,2848
"All India	",Kharif,58063.98,57499.34,57326.54,59011.21,58777.48,131160.46,133424.46,135891.27,141958.04,147128.74,2259,2320,2370,2406,2503
