"State		",Season,Area_2017-18,Area_2018-19,Area_2019-20,Area_2020-21,Area_2021-22,Production_2017-18,Production_2018-19,Production_2019-20,Production_2020-21,Production_2021-22,Yield_2017-18,Yield_2018-19,Yield_2019-20,Yield_2020-21,Yield_2021-22
"		",,0.44,0.45,0.45,0.45,0.46,0.25,0.35,0.36,0.36,0.37,575,777,784,793,795
"Arunachal Pradesh	",Rabi,28.19,26.73,24.12,23.27,23.46,21.03,19.57,18.43,16.96,18.49,746,732,764,729,788
"Assam	",Rabi,138.16,147.91,143.05,136.53,133.15,147.56,148.06,90.12,124.52,124.23,1068,1001,630,912,933
"Bihar	",Rabi,13.04,13.66,13.81,14.41,12.82,4.59,4.97,4.46,5.82,5.14,352,364,323,404,401
"Chhattisgarh	",Rabi,1.5,1.1,0.8,1.15,0.51,0.87,0.79,0.9,0.91,0.49,579,722,1125,795,965
"Haryana	",Rabi,0.44,0.48,0.49,0.3,0.29,0.39,0.43,0.46,0.2,0.42,875,880,930,657,1463
"Himachal Pradesh	",Rabi,0.21,0,0.38,0.4,0.25,0.12,0,0.27,0.29,0.14,571,0,717,713,586
"Jammu And Kashmir	",Rabi,69.44,57.26,62.32,72.44,65.46,62.5,50.1,52.91,63.75,57.6,900,875,849,880,880
"Jharkhand	",Rabi,596,421,379,542,492,679,329.64,294.48,615.17,442.31,1139,783,777,1135,899
"Madhya Pradesh	",Rabi,0.72,0.76,0.66,0.81,0.95,0.67,0.7,0.61,0.75,0.91,927,923,923,923,963
"Manipur	",Rabi,1.26,1.26,0,0,0,1.39,1.39,0,0,0,1106,1107,0,0,0
"Meghalaya	",Rabi,2.14,2.18,2.21,2.21,0.15,1.76,1.79,1.82,1.82,0.13,822,821,824,824,855
"Nagaland	",Rabi,10.64,9.73,9.34,9.05,11.64,5.62,5.14,4.94,4.76,6.15,528,528,529,526,528
"Odisha	",Rabi,0.8,0.7,0.8,0.6,0.5,0.45,0.48,0.43,0.36,0.28,565,681,543,598,553
"Punjab	",Rabi,31.35,19.77,17.02,20.14,16.73,33.67,23.01,23.4,26.82,22.18,1074,1164,1375,1332,1326
"Rajasthan	",Rabi,2.89,2.52,2.21,1.56,0.73,2.07,1.88,1.66,1.14,0.56,716,746,748,728,766
"Tripura	",Rabi,10,11,11,12,9,6.96,9.7,11.15,9.01,7.88,696,882,1014,751,875
"Uttarakhand	",Rabi,484,476,463,472,494,498.04,488.38,452.81,478.61,466.34,1029,1026,978,1014,944
"Uttar Pradesh	",Rabi,158,170.2,172.03,158.98,149.82,154.9,141.44,143.81,142.61,115.21,980,831,836,897,769
"West Bengal	",Rabi,1549.21,1362.72,1302.69,1468.31,1411.92,1621.81,1227.82,1103.03,1493.85,1268.83,1047,901,847,1017,899
"All India	",Rabi,,,,,,,,,,,,,,,
