"State	",Season,Area_2017-18,Area_2018-19,Area_2019-20,Area_2020-21,Area_2021-22,Production_2017-18,Production_2018-19,Production_2019-20,Production_2020-21,Production_2021-22,Yield_2017-18,Yield_2018-19,Yield_2019-20,Yield_2020-21,Yield_2021-22
"Andaman And Nicobar Islands	",Rabi,0.19,0.1,0.36,0.23,0.23,0.06,0.02,0.22,0.1,0.1,311,210,597,420,420
"Andhra Pradesh	",Kharif,18,18,13,11,8,10.69,5.29,4.97,4.54,4.5,594,294,382,413,563
"Andhra Pradesh	",Rabi,121,103,94,94,89,81.19,79.41,81.5,76.52,79.03,671,771,867,814,888
"Andhra Pradesh	",Total,139,121,107,105,97,91.88,84.71,86.46,81.06,83.54,661,700,808,772,861
"Arunachal Pradesh	",Kharif,1.3,1.31,1.32,1.32,1.36,1.3,1.34,1.35,1.36,1.41,997,1020,1027,1034,1037
"Assam	",Rabi,11.41,11.11,10.84,10.91,11.77,8.04,7.7,7.79,8.58,8.71,705,693,719,787,740
"Bihar	",Kharif,7.44,9.16,7.38,6.98,6.73,5.53,5.32,4.64,4.79,4.55,743,581,628,686,677
"Bihar	",Rabi,169.94,160.47,158.29,159.45,156.77,120.15,113.13,105.42,88.34,108.96,707,705,666,554,695
"Bihar	",Total,177.38,169.63,165.67,166.43,163.5,125.68,118.45,110.05,93.13,113.51,709,698,664,560,694
"Chhattisgarh	",Kharif,10.34,8.55,6.18,3.94,3.36,4.87,4.16,2.57,1.73,1.49,471,487,416,439,443
"Chhattisgarh	",Rabi,7.21,4.99,4.46,4.12,2.51,1.48,1.68,1.57,1.47,0.9,205,337,352,358,359
"Chhattisgarh	",Total,17.55,13.54,10.64,8.06,5.87,6.35,5.85,4.14,3.2,2.39,362,432,389,398,407
"Gujarat	",Kharif,125,63.06,91.51,91.63,98.8,71,21.06,58.75,37.75,43.87,568,334,642,412,444
"Gujarat	",Rabi,27,23.78,43.41,63.06,70.23,13.72,28.08,45.36,72.39,92.98,508,1181,1045,1148,1324
"Gujarat	",Total,152,86.84,134.92,154.69,169.03,84.72,49.15,104.11,110.14,136.85,557,566,772,712,810
"Haryana	",Kharif,13.6,19.1,20.17,45.96,79.24,9.4,12.49,12,31.02,52.38,691,654,595,675,661
"Haryana	",Rabi,16,0,0,,0,14.99,0,0,0,0,937,0,0,,0
"Haryana	",Total,29.6,19.1,20.17,45.96,79.24,24.39,12.49,12,31.02,52.38,824,654,595,675,661
"Himachal Pradesh	",Kharif,0.13,0.11,0.12,0.2,0.15,0.09,0.08,0.08,0.12,0.08,708,710,710,631,497
"Jammu And Kashmir	",Kharif,0.61,0.38,0.31,0.36,0.37,0.24,0.16,0.13,0.16,0.14,390,433,428,441,392
"Jharkhand	",Kharif,29,30.37,22.94,25.7,19.99,23.58,22.65,18.56,21.33,16.05,813,746,809,830,803
"Karnataka	",Kharif,392,415.15,372,427,401,134.06,141.57,138.01,172.94,145.56,342,341,371,405,363
"Karnataka	",Rabi,4.7,5.89,10.3,26,18,1.2,1.01,3.05,9,5.53,255,171,296,346,307
"Karnataka	",Total,396.7,421.04,382.3,453,419,135.26,142.57,141.06,181.94,151.09,341,339,369,402,361
"Kerala	",Kharif,,,,,0,0,,,,0,,,,,0
"Kerala	",Rabi,,,,,0.14,,,,,0.09,,,,,636
"Kerala	",Total,,,,,0.14,,,,,0.09,,,,,636
"Madhya Pradesh	",Kharif,228,95,46,67,88,137,38.19,14.35,22.91,31.94,601,402,312,342,363
"Madhya Pradesh	",Rabi,206,196,288.2,477,850.1,128.75,242.06,233.44,618.67,1102.58,625,1235,810,1297,1297
"Madhya Pradesh	",Total,434,291,334.2,544,938.1,265.75,280.25,247.79,641.58,1134.52,612,963,741,1179,1209
"Maharashtra	",Kharif,432,481.1,386.79,401.02,378.1,158.54,203.79,150.85,207.33,186.78,367,424,390,517,494
"Maharashtra	",Rabi,0,0,0,,24.75,0,0,0,,6.21,0,0,0,,251
"Maharashtra	",Total,432,481.1,386.79,,402.85,158.54,203.79,150.85,,192.99,367,424,390,,479
"Manipur	",Kharif,0,0,0.43,0.49,0.49,0,0,0.39,0.5,0.47,0,0,896,1014,959
"Manipur	",Rabi,0.45,0.46,0,0,0,0.5,0.48,0,0,0,1116,1048,0,0,0
"Manipur	",Total,0.45,0.46,0.43,0.49,0.49,0.5,0.48,0.39,0.5,0.47,1116,1048,896,1014,959
"Nagaland	",Kharif,0.48,0.54,0.48,0.48,0.42,0.51,0.58,0.5,0.51,0.4,1063,1074,1042,1063,959
"Odisha	",Kharif,108.61,73.1,70.78,59.72,98.83,33.94,20.02,23.14,20.66,30.34,312,274,327,346,307
"Odisha	",Rabi,127.4,143.55,169.36,175.65,150.81,57.58,50.82,57.58,37.24,58.06,452,354,340,212,385
"Odisha	",Total,236.01,216.65,240.14,235.37,249.64,91.52,70.84,80.72,57.9,88.4,388,327,336,246,354
"Puducherry	",Kharif,0,0.01,0.02,0,0,0,0,0.02,0,0,1000,800,750,0,0
"Puducherry	",Rabi,0.64,0.66,0.63,0.61,0.56,0.57,0.27,0.16,0.13,0.13,900,415,248,217,228
"Puducherry	",Total,0.64,0.67,0.65,0.61,0.56,0.58,0.28,0.17,0.13,0.13,900,418,264,217,228
