"State				",Season,Area_2017-18,Area_2018-19,Area_2019-20,Area_2020-21,Area_2021-22,Production_2017-18,Production_2018-19,Production_2019-20,Production_2020-21,Production_2021-22,Yield_2017-18,Yield_2018-19,Yield_2019-20,Yield_2020-21,Yield_2021-22
"Andhra Pradesh	",Rabi,339,303,323,304,286,2091.86,1360.84,1914.37,1754.36,1715.78,6171,4491,5927,5771,5999
"Arunachal Pradesh	",Rabi,9.8,0,9.92,9.94,10.84,16.31,0,16.86,17.04,18.65,1665,0,1700,1715,1720
"Bihar	",Rabi,464.58,460.43,471.28,463.14,496.03,1835.56,2047.02,1577.95,1873.61,2446.01,3951,4446,3348,4045,4931
"Chhattisgarh	",Rabi,1.97,1.88,1.67,1.43,1.17,2.07,1.49,1.02,0.99,0.96,1052,792,609,694,818
Dadra And Nagar Haveli,Rabi,0,0.1,0,,0,0,0.08,0,,0,0,800,0,,0
"Delhi	",Rabi,0.06,0.06,0.06,0.05,0.05,0.18,0.17,0.18,0.15,0.2,2919,2915,3000,3000,4000
"Gujarat	",Rabi,122,135.07,158.14,116.83,110.5,227.7,297.19,369.58,249.59,258.88,1866,2200,2337,2136,2343
"Haryana	",Rabi,20,14.9,12.12,9.26,3.29,69,57.6,46.5,30.96,10.65,3450,3866,3837,3343,3237
"Himachal Pradesh	",Rabi,19.16,20.36,20.4,20.43,18.11,33.88,36.03,30.81,32.14,31.39,1768,1770,1510,1573,1733
"Jammu And Kashmir	",Rabi,5.76,7.04,7.49,3.99,7.14,3.33,4.57,4.49,2.3,4.67,578,649,599,576,654
"Jharkhand	",Rabi,10.13,5.94,7.64,12.33,12.15,20.58,11.32,16.04,28.42,28.82,2031,1905,2099,2305,2373
"Karnataka	",Rabi,1120,943.35,836,856,734,1440.06,1101.05,1328,1415,1312.67,1286,1167,1589,1653,1788
"Kerala	",Rabi,0,0.22,0.3,0.27,0.23,0,0.23,0.28,0.25,0.42,0,1034,930,915,1830
"Ladakh	",Rabi,0,0,0,5.98,9.97,0,0,0,3.69,21.94,0,0,0,617,2200
"Madhya Pradesh	",Rabi,166,94,51,47,16,430.57,206.32,147.91,135.95,32.48,2594,2195,2900,2893,2030
"Maharashtra	",Rabi,2059.3,1345.23,2347.23,2156.39,1879.06,1962.48,855.18,2503.27,2376.4,2794.99,953,636,1066,1102,1487
"Manipur	",Rabi,26.93,26.38,0,7.02,6.94,63.1,58.17,0,16.01,15.49,2343,2205,0,2281,2232
"Mizoram	",Rabi,0.51,0.43,0.49,0.52,0.53,0.68,0.67,0.67,0.83,0.79,1355,1558,1359,1602,1503
"Nagaland	",Rabi,5.88,5.92,5.95,5.98,0.77,11.13,11.21,11.28,11.34,1.47,1893,1893,1896,1896,1903
"Odisha	",Rabi,2.13,2.86,3.93,2.61,3.72,5.8,7.46,13.1,6.82,10.03,2721,2610,3333,2614,2697
"Punjab	",Rabi,7.7,6.8,6.2,5.9,5,29.88,25.48,22.59,22.28,15.48,3880,3747,3644,3777,3096
"Rajasthan	",Rabi,287.89,225.91,317.19,286.65,216.24,930.64,812.51,1051.31,1018.6,800.71,3233,3597,3314,3553,3703
"Sikkim	",Rabi,0.42,0.79,0.4,0.35,0,0.45,0.84,0.46,0.4,0,1072,1073,1151,1168,0
"Tamil Nadu	",Rabi,302.6,424.92,383.14,368.18,410.76,1215.16,1805.63,1351.42,1109.94,1369.32,4016,4249,3527,3015,3334
"Telangana	",Rabi,191,138,201,221,177.1,990.71,795.45,1161.71,1477.83,1016.35,5187,5764,5780,6687,5739
"Tripura		",Rabi,2.14,2.86,2.49,7.36,5.05,3.34,5.58,5.49,18.34,13.32,1559,1952,2208,2491,2637
"Uttarakhand	",Rabi,20,23,24,22,20,26.74,32.75,34.34,27.98,29.28,1337,1424,1431,1272,1464
"Uttar Pradesh	",Rabi,204,210,231,221,221,546.34,588.42,686.05,669.11,654.61,2678,2802,2970,3028,2962
"West Bengal	",Rabi,182.8,211.31,252.28,309,309.51,987.34,1551.65,1837.93,2273.57,2367.33,5401,7343,7285,7358,7649
"All India	",Rabi,5571.76,4610.75,5674.32,5464.61,4961.15,12944.89,11674.93,14133.61,14573.9,14972.69,2323,2532,2491,2667,3018
