"State		",Season,Area_2017-18,Area_2018-19,Area_2019-20,Area_2020-21,Area_2021-22,Production_2017-18,Production_2018-19,Production_2019-20,Production_2020-21,Production_2021-22,Yield_2017-18,Yield_2018-19,Yield_2019-20,Yield_2020-21,Yield_2021-22
"Andaman And Nicobar Islands	",Rabi,0.55,0.1,0.52,0.64,0.64,0.18,0.02,0.3,0.26,0.26,321,210,578,407,407
"Andhra Pradesh	",Rabi,1041,963,889,962,920,1036.91,657.98,986.63,977,945.4,996,683,1110,1016,1028
"Arunachal Pradesh	",Rabi,6.81,8.01,6.89,6.89,6.94,7.59,6.94,8.01,8.1,8.17,1115,867,1164,1175,1177
"Assam	",Rabi,149.1,144.68,138.13,136.27,138.59,111.09,108.88,101.03,103.53,105.79,745,753,731,760,763
"Bihar	",Rabi,431.77,432.98,416.39,406.91,400.32,403.58,398.56,286.52,330.54,348.71,935,921,688,812,871
"Chhattisgarh	",Rabi,584.51,543.42,590.65,486.02,519.1,463.64,457.06,167.84,376.51,325.92,793,841,284,775,628
"Dadra And Nagar Haveli	",Rabi,0,1.2,0.16,0,0,0,1.24,0.16,0,0,0,1030,1000,0,0
"Daman And Diu	",Rabi,0,0,0.34,,0,0,0,0.34,,0,0,0,1000,,0
"Delhi	",Rabi,0.01,0,0,0,0,0.01,0,0,0,0,2000,2000,2000,2000,2000
"Goa	",Rabi,5.35,6.03,4.4,3.84,3.8,4.64,6.18,3.86,3.75,3.03,867,1024,877,976,798
Gujarat,Rabi,351,220.87,497.55,948.61,1242.45,412.46,281.33,728.49,1410.53,2267.24,1175,1274,1464,1487,1825
"Haryana	",Rabi,52,49.3,47.17,39.56,43.31,54.36,66.58,50.44,39.91,51.43,1045,1351,1069,1009,1188
"Himachal Pradesh	",Rabi,13.23,12.5,12.53,15.3,11.88,45.71,42.21,42.36,38.55,28.64,3455,3378,3381,2520,2410
"Jammu And Kashmir	",Rabi,2.2,2.22,1.5,1.4,1.56,1.58,1.7,1.09,1.03,1.17,717,767,729,733,750
"Jharkhand	",Rabi,381.92,311.05,372.24,418.33,409.85,433.67,343.6,417.63,482.6,449.8,1136,1105,1122,1154,1097
"Karnataka	",Rabi,1421.7,1269.39,975.5,888.01,885,876.14,592.66,748.4,549.13,591.11,616,467,767,618,668
"Kerala	",Rabi,1.79,2.09,1.86,1.79,1.25,1.72,1.74,1.59,1.58,1.16,965,830,854,885,929
"Madhya Pradesh	",Rabi,4800,3853,2700.2,3306,3496.1,5829.77,4692.82,3356,4591.1,4694.35,1215,1218,1243,1389,1343
"Maharashtra	",Rabi,2104.3,1805.93,2181.02,2374.21,2865.07,1885.98,1448.62,2310.99,2469.8,3166.72,896,802,1060,1040,1105
"Manipur	",Rabi,28.11,30.54,22.93,26.28,28.52,26.64,28.95,21.15,24.36,26.73,948,948,922,927,937
"Meghalaya	",Rabi,7.1,8.39,7.14,7.15,7.18,10.39,11.84,10.48,10.49,10.57,1463,1411,1468,1467,1471
"Mizoram	",Rabi,1.18,1.67,1.92,2.06,2.07,1.85,2.51,2.67,2.96,3.02,1569,1501,1391,1437,1463
"Nagaland	",Rabi,20.89,21.82,21.92,21.98,11.88,24.05,24.85,24.98,25.19,13.8,1151,1139,1140,1146,1162
"Odisha	",Rabi,331.62,316.8,320.99,376.88,392.32,181.36,159.66,146.06,157.52,203.83,547,504,455,418,520
"Puducherry	",Rabi,0.92,1.01,0.97,1.05,1.08,0.72,0.44,0.31,0.4,0.51,780,433,321,378,474
"Punjab	",Rabi,22.5,22,6.8,25.6,57.5,19.89,21.48,6.24,25.26,71.86,884,977,917,987,1250
"Rajasthan	",Rabi,1620.91,1633.07,2500.81,2150.78,2333.75,1764.04,1892.35,2722.74,2323.34,2744.96,1088,1159,1089,1080,1176
"Sikkim	",Rabi,,,,,2.43,,,,,2.42,,,,,998
"Tamil Nadu	",Rabi,602.23,659.81,633.65,605.65,617.65,371.36,386.02,436.36,302.28,348.4,617,585,689,499,564
"Telangana	",Rabi,116,121,146,182,224,164.15,183.21,220.45,293.41,296.91,1415,1514,1510,1612,1325
"Tripura	",Rabi,11.8,11.34,10.37,11.13,9.39,8.9,8.58,8.17,8.95,7.57,755,756,788,804,806
"Uttarakhand	",Rabi,16,17,20,20,16,12.74,15.5,18.92,15.92,13.67,796,912,946,796,854
"Uttar Pradesh	",Rabi,1370,1468,1517,1537,1587,1567.84,1825.15,1941.17,1880.44,1995.37,1144,1243,1280,1223,1257
"West Bengal	",Rabi,383.38,388.08,405.32,389.64,375.83,387.5,315.85,332.99,390.47,338.14,1011,814,822,1002,900
"All India	",Rabi,15879.85,14326.29,14451.85,15352.98,16612.46,16110.46,13984.5,15104.37,16844.9,19066.66,1015,976,1045,1097,1148
