"State	",Season,Area_2017-18,Area_2018-19,Area_2019-20,Area_2020-21,Area_2021-22,Production_2017-18,Production_2018-19,Production_2019-20,Production_2020-21,Production_2021-22,Yield_2017-18,Yield_2018-19,Yield_2019-20,Yield_2020-21,Yield_2021-22
"Andhra Pradesh	",Kharif,35,32,34,33,30,44.7,43.14,44.88,39.5,31.14,1277,1348,1320,1197,1038
"Bihar	",Kharif,4.21,2.88,2.76,2.77,2.45,4.19,3.09,2.19,2.58,2.39,994,1071,796,934,978
"Chhattisgarh	",Kharif,4.83,7.7,5.73,5.48,3.38,1.21,1.65,1.45,1.65,1.01,250,214,253,302,300
"Dadra And Nagar Haveli	",Kharif,0.85,0.92,0.9,0.85,0.85,1.45,1.32,1.49,1.4,1.41,1700,1440,1650,1652,1667
"Gujarat	",Kharif,12,11.99,11.61,10.47,10,10.75,9.64,10.01,12.62,9,896,804,862,1205,900
"Himachal Pradesh	",Kharif,1.82,1.72,1.76,0.58,1.13,1.92,1.82,2.06,0.49,1.06,1056,1060,1170,842,937
"Jharkhand	",Kharif,19.01,14.03,14.58,18.77,19.03,18.48,11.29,12.76,16.4,16.7,972,805,875,874,878
"Karnataka	",Kharif,778,527.25,641,785,846,1286.03,677.52,1164.06,1369.83,1126.87,1653,1285,1816,1745,1332
"Kerala	",Kharif,0.09,0.22,0.21,0.23,0.17,0.11,0.27,0.26,0.33,0.28,1272,1208,1225,1435,1661
"Maharashtra	",Kharif,93,80.3,82.22,81.6,81.26,106.49,93.48,87.24,93.92,102.63,1145,1164,1061,1151,1263
"Nagaland	",Kharif,0.34,0.35,0.35,0.35,0.34,0.33,0.34,0.34,0.34,0.22,971,971,971,971,644
"Odisha	",Kharif,42.59,36.66,35.89,41.31,54.98,32.67,25.3,26.24,32.88,43.65,767,690,731,796,794
"Puducherry	",Kharif,0.05,0.04,0.06,0.05,0.05,0.13,0.1,0.14,0.11,0.11,2889,2390,2407,2422,2413
"Tamil Nadu	",Kharif,86.51,78.6,84.54,82.92,74.44,321.3,256,274.5,288.64,227.49,3714,3257,3247,3481,3056
"Telangana	",Kharif,1,1,2,1,1,1.14,0.98,3.16,1.34,1.65,1137,977,1581,1343,1647
"Uttarakhand	",Kharif,103,92,84,89,86,140.8,109.85,120.12,129.85,127.11,1367,1194,1430,1459,1478
"West Bengal	",Kharif,12,3.27,2.85,6.03,5.33,13.56,2.93,4.17,6.47,6.26,1130,895,1464,1073,1176
"All India	",Kharif,1194.29,890.94,1004.46,1159.4,1218.43,1985.24,1238.7,1755.06,1998.36,1701.12,1662,1390,1747,1724,1396
