Date,SUBDIVISION,Rainfall
1901-01-01,Andaman & Nicobar Islands,49.2
1902-01-01,Andaman & Nicobar Islands,0.0
1903-01-01,Andaman & Nicobar Islands,12.7
1904-01-01,Andaman & Nicobar Islands,9.4
1905-01-01,Andaman & Nicobar Islands,1.3
1906-01-01,Andaman & Nicobar Islands,36.6
1907-01-01,Andaman & Nicobar Islands,110.7
1908-01-01,Andaman & Nicobar Islands,20.9
1910-01-01,Andaman & Nicobar Islands,26.6
1911-01-01,Andaman & Nicobar Islands,0.0
1912-01-01,Andaman & Nicobar Islands,583.7
1913-01-01,Andaman & Nicobar Islands,84.8
1914-01-01,Andaman & Nicobar Islands,0.0
1915-01-01,Andaman & Nicobar Islands,45.0
1916-01-01,Andaman & Nicobar Islands,0.0
1917-01-01,Andaman & Nicobar Islands,8.0
1918-01-01,Andaman & Nicobar Islands,77.4
1919-01-01,Andaman & Nicobar Islands,10.2
1920-01-01,Andaman & Nicobar Islands,122.3
1921-01-01,Andaman & Nicobar Islands,13.2
1922-01-01,Andaman & Nicobar Islands,245.3
1923-01-01,Andaman & Nicobar Islands,79.5
1924-01-01,Andaman & Nicobar Islands,28.7
1925-01-01,Andaman & Nicobar Islands,36.6
1926-01-01,Andaman & Nicobar Islands,122.1
1927-01-01,Andaman & Nicobar Islands,3.0
1928-01-01,Andaman & Nicobar Islands,50.9
1929-01-01,Andaman & Nicobar Islands,74.2
1930-01-01,Andaman & Nicobar Islands,87.4
1931-01-01,Andaman & Nicobar Islands,25.3
1932-01-01,Andaman & Nicobar Islands,2.8
1933-01-01,Andaman & Nicobar Islands,4.5
1934-01-01,Andaman & Nicobar Islands,7.3
1935-01-01,Andaman & Nicobar Islands,6.6
1936-01-01,Andaman & Nicobar Islands,16.5
1937-01-01,Andaman & Nicobar Islands,21.6
1938-01-01,Andaman & Nicobar Islands,13.4
1939-01-01,Andaman & Nicobar Islands,54.1
1940-01-01,Andaman & Nicobar Islands,0.5
1941-01-01,Andaman & Nicobar Islands,0.0
1942-01-01,Andaman & Nicobar Islands,39.2
1946-01-01,Andaman & Nicobar Islands,84.4
1947-01-01,Andaman & Nicobar Islands,25.1
1949-01-01,Andaman & Nicobar Islands,0.0
1950-01-01,Andaman & Nicobar Islands,0.8
1951-01-01,Andaman & Nicobar Islands,82.7
1952-01-01,Andaman & Nicobar Islands,0.0
1953-01-01,Andaman & Nicobar Islands,56.0
1954-01-01,Andaman & Nicobar Islands,83.8
1955-01-01,Andaman & Nicobar Islands,57.3
1956-01-01,Andaman & Nicobar Islands,49.2
1957-01-01,Andaman & Nicobar Islands,28.0
1958-01-01,Andaman & Nicobar Islands,22.9
1959-01-01,Andaman & Nicobar Islands,10.1
1960-01-01,Andaman & Nicobar Islands,104.2
1961-01-01,Andaman & Nicobar Islands,82.1
1962-01-01,Andaman & Nicobar Islands,152.4
1963-01-01,Andaman & Nicobar Islands,79.9
1964-01-01,Andaman & Nicobar Islands,65.5
1965-01-01,Andaman & Nicobar Islands,11.8
1966-01-01,Andaman & Nicobar Islands,79.8
1967-01-01,Andaman & Nicobar Islands,164.6
1968-01-01,Andaman & Nicobar Islands,22.1
1969-01-01,Andaman & Nicobar Islands,106.3
1970-01-01,Andaman & Nicobar Islands,72.2
1971-01-01,Andaman & Nicobar Islands,41.5
1972-01-01,Andaman & Nicobar Islands,13.7
1973-01-01,Andaman & Nicobar Islands,18.1
1974-01-01,Andaman & Nicobar Islands,22.2
1975-01-01,Andaman & Nicobar Islands,276.9
1976-01-01,Andaman & Nicobar Islands,20.9
1977-01-01,Andaman & Nicobar Islands,79.7
1978-01-01,Andaman & Nicobar Islands,109.6
1979-01-01,Andaman & Nicobar Islands,35.5
1980-01-01,Andaman & Nicobar Islands,5.5
1981-01-01,Andaman & Nicobar Islands,11.1
1982-01-01,Andaman & Nicobar Islands,8.8
1983-01-01,Andaman & Nicobar Islands,22.1
1984-01-01,Andaman & Nicobar Islands,69.4
1985-01-01,Andaman & Nicobar Islands,12.0
1986-01-01,Andaman & Nicobar Islands,14.8
1987-01-01,Andaman & Nicobar Islands,72.4
1988-01-01,Andaman & Nicobar Islands,10.2
1989-01-01,Andaman & Nicobar Islands,56.0
1990-01-01,Andaman & Nicobar Islands,13.4
1991-01-01,Andaman & Nicobar Islands,14.1
1992-01-01,Andaman & Nicobar Islands,75.9
1993-01-01,Andaman & Nicobar Islands,14.9
1994-01-01,Andaman & Nicobar Islands,7.2
1995-01-01,Andaman & Nicobar Islands,51.8
1996-01-01,Andaman & Nicobar Islands,52.2
1997-01-01,Andaman & Nicobar Islands,9.5
1998-01-01,Andaman & Nicobar Islands,0.9
1999-01-01,Andaman & Nicobar Islands,46.8
2000-01-01,Andaman & Nicobar Islands,53.0
2001-01-01,Andaman & Nicobar Islands,89.0
2002-01-01,Andaman & Nicobar Islands,10.6
2003-01-01,Andaman & Nicobar Islands,44.3
2004-01-01,Andaman & Nicobar Islands,54.5
2005-01-01,Andaman & Nicobar Islands,0.0
2006-01-01,Andaman & Nicobar Islands,16.3
2007-01-01,Andaman & Nicobar Islands,4.9
2008-01-01,Andaman & Nicobar Islands,9.9
2009-01-01,Andaman & Nicobar Islands,24.5
2010-01-01,Andaman & Nicobar Islands,101.7
2011-01-01,Andaman & Nicobar Islands,265.9
2012-01-01,Andaman & Nicobar Islands,119.9
2013-01-01,Andaman & Nicobar Islands,67.1
2014-01-01,Andaman & Nicobar Islands,41.9
2015-01-01,Andaman & Nicobar Islands,126.8
2016-01-01,Andaman & Nicobar Islands,72.0
2017-01-01,Andaman & Nicobar Islands,228.7
1916-01-01,Arunachal Pradesh,48.1
1917-01-01,Arunachal Pradesh,21.4
1918-01-01,Arunachal Pradesh,10.4
1919-01-01,Arunachal Pradesh,34.5
1920-01-01,Arunachal Pradesh,14.0
1921-01-01,Arunachal Pradesh,78.9
1922-01-01,Arunachal Pradesh,50.7
1923-01-01,Arunachal Pradesh,9.4
1924-01-01,Arunachal Pradesh,85.7
1925-01-01,Arunachal Pradesh,80.6
1926-01-01,Arunachal Pradesh,38.1
1927-01-01,Arunachal Pradesh,48.3
1928-01-01,Arunachal Pradesh,48.9
1929-01-01,Arunachal Pradesh,144.8
1930-01-01,Arunachal Pradesh,64.4
1931-01-01,Arunachal Pradesh,61.3
1932-01-01,Arunachal Pradesh,70.2
1933-01-01,Arunachal Pradesh,56.0
1934-01-01,Arunachal Pradesh,84.9
1935-01-01,Arunachal Pradesh,18.1
1936-01-01,Arunachal Pradesh,105.9
1937-01-01,Arunachal Pradesh,19.9
1938-01-01,Arunachal Pradesh,144.8
1939-01-01,Arunachal Pradesh,13.6
1940-01-01,Arunachal Pradesh,12.7
1941-01-01,Arunachal Pradesh,37.4
1942-01-01,Arunachal Pradesh,15.8
