"State					",Season,Area_2017-18,Area_2018-19,Area_2019-20,Area_2020-21,Area_2021-22,Production_2017-18,Production_2018-19,Production_2019-20,Production_2020-21,Production_2021-22,Yield_2017-18,Yield_2018-19,Yield_2019-20,Yield_2020-21,Yield_2021-22
"Andaman And Nicobar Islands	",Kharif,5.34,5.39,5.7,6.26,6.26,16.84,11.44,17.98,13.34,13.34,3154,2122,3154,2133,2133
"Andhra Pradesh	",Kharif,1477,1564,1526,1496,1508,4941.33,5243.33,5116.68,4211.24,4326.45,3346,3353,3353,2815,2869
"Andhra Pradesh	",Rabi,679,644,774.1,827.5,781,3224.87,2991.33,3542.21,3671.62,3437.18,4749,4645,4576,4437,4401
"Andhra Pradesh	",Total,2156,2208,2300.1,2323.5,2289,8166.2,8234.67,8658.88,7882.86,7763.63,3788,3729,3765,3393,3392
"Arunachal Pradesh	",Kharif,131.51,133.2,133.01,133.27,135.72,232.56,240,244.07,246.42,251.35,1768,1802,1835,1849,1852
"Arunachal Pradesh	",Rabi,0.5,0,0.49,0.5,0.77,0.77,0,0.66,0.66,1.03,1562,0,1337,1340,1343
"Arunachal Pradesh	",Total,132,133.2,133.5,133.77,136.48,233.33,240,244.73,247.08,252.38,1768,1802,1833,1847,1849
"Assam	",Kharif,2033.31,2024.31,1895,1980.45,1983.16,4092.47,4074.93,3959.06,4143.09,3537.96,2013,2013,2089,2092,1784
"Assam	",Rabi,400.4,400.87,395.52,380.03,370.09,1191.2,1145.7,1025.57,1071.67,844.18,2975,2858,2593,2820,2281
"Assam	",Total,2433.71,2425.18,2290.52,2360.47,2353.26,5283.66,5220.62,4984.63,5214.76,4382.14,2171,2153,2176,2209,1862
"Bihar	",Kharif,3239.12,3099.32,2826,2961.8,3037.48,7949.33,6019.25,6169.16,6610.74,7572.44,2454,1942,2183,2232,2493
"Bihar	",Rabi,67.87,60.4,60.4,59.06,53.88,143.81,136.26,128.83,136.25,144.5,2119,2256,2133,2307,2682
"Bihar	",Total,3306.98,3159.72,2886.4,3020.86,3091.36,8093.13,6155.51,6297.99,6746.99,7716.95,2447,1948,2182,2233,2496
"Chandigarh	",Kharif,0,0,0.8,0.08,0.08,0,0,4.4,0.44,0.45,733,3533,5500,5500,5500
"Chhattisgarh	",Kharif,3761.1,3606,3666,3791,3759,4930.8,6526.86,6774.77,7161.2,8021.71,1311,1810,1848,1889,2134
"Dadra And Nagar Haveli	",Kharif,14.25,14.2,13.45,15.85,15.85,31.35,29.91,27.8,32.94,32.8,2200,2106,2067,2078,2069
"Dadra And Nagar Haveli	",Rabi,0.15,0.2,3.35,,0,0.35,0.41,8.49,,0,2333,2030,2533,,0
"Dadra And Nagar Haveli	",Total,14.4,14.4,16.8,15.85,15.85,31.7,30.31,36.28,32.94,32.8,2201,2105,2160,2078,2069
Daman And Diu,Kharif,1.78,1.43,0.95,1.43,1.43,2.18,1.82,2.03,2.8,2.78,1222,1273,2133,1956,1936
"Delhi	",Kharif,5.85,5.85,5.84,6.17,6.12,16.84,16.83,16.8,19.75,19.02,2876,2877,2877,3200,3106
"Goa	",Kharif,27.22,25.84,24.41,23.44,23.29,71.29,70.26,60.56,61.57,65.58,2619,2719,2481,2627,2816
"Goa	",Rabi,11.3,10.54,10.29,9.24,9.06,31.72,28.58,29.82,25.77,24.84,2807,2711,2899,2790,2742
"Goa	",Total,38.52,36.38,34.7,32.68,32.35,103.01,98.84,90.39,87.34,90.42,2674,2717,2605,2673,2795
"Gujarat	",Kharif,803,809.37,849.6,836.91,818.13,1749.74,1819.46,1821.54,1936.61,1884.97,2179,2248,2144,2314,2304
"Gujarat	",Rabi,53,29.58,54.75,69.72,73.9,141.19,92.61,161.51,209.09,216.08,2664,3131,2950,2999,2924
"Gujarat	",Total,856,838.95,904.35,906.63,892.03,1890.93,1912.08,1983.05,2145.7,2101.06,2209,2279,2193,2367,2355
"Haryana	",Kharif,1422,1447,1447,1327.2,1281,4523.38,4516.09,4824.3,4424.88,4618.01,3181,3121,3334,3334,3605
"Himachal Pradesh	",Kharif,71.61,71.81,72.62,68.46,66.17,114.79,114.9,143.79,140.47,167.53,1603,1600,1980,2052,2532
"Jammu And Kashmir	",Kharif,273.58,262.01,280.51,267.58,268.78,513.14,615.8,587.02,581.45,492.93,1876,2350,2093,2173,1834
