Date,State Name,DistrictName,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm)
30-06-2018,MAHARASHTRA,WASHIM,0.16,-,1.12,41.45206208
30-06-2018,MAHARASHTRA,SATARA,5.44,-,43.41,34.10573634
30-06-2018,MAHARASHTRA,PUNE,2.46,-,16.41,35.67910148
30-06-2018,MAHARASHTRA,PARBHANI,0.17,-,1.1,38.02057468
30-06-2018,MAHARASHTRA,JALNA,0.55,-,3.33,35.00787647
30-06-2018,MAHARASHTRA,GONDIYA,0.45,-,3.84,37.00546666
30-06-2018,MAHARASHTRA,MUMBAI,0,-,0,44.984512
30-06-2018,MAHARASHTRA,NASHIK,1.5,-,10.05,31.42123232
30-06-2018,MAHARASHTRA,GARHCHIROLI,1.98,-,15.22,34.8124412
30-06-2018,MAHARASHTRA,RATNAGIRI,7.57,-,48.56,38.58166755
30-06-2018,MAHARASHTRA,OSMANABAD,2.25,-,23.06,36.64915721
30-06-2018,MAHARASHTRA,BID,1.49,-,13.51,35.04730551
30-06-2018,MAHARASHTRA,LATUR,4.92,-,45.61,38.06840375
30-06-2018,MAHARASHTRA,YAVATMAL,0.51,-,3.91,39.18920287
30-06-2018,MAHARASHTRA,BHANDARA,2.82,-,25.24,38.2391493
30-06-2018,MAHARASHTRA,MUMBAI SUBURBAN,0.85,-,8.24,43.4991526
30-06-2018,MAHARASHTRA,NANDURBAR,0.77,-,4.77,35.10107677
30-06-2018,MAHARASHTRA,NAGPUR,2.33,-,24.97,39.33520624
30-06-2018,MAHARASHTRA,CHANDRAPUR,1.39,-,10.79,39.0177397
30-06-2018,MAHARASHTRA,JALGAON,1.35,-,9.12,38.64896959
30-06-2018,MAHARASHTRA,HINGOLI,0.86,-,5.88,38.97473377
30-06-2018,MAHARASHTRA,AKOLA,0.96,-,7.03,41.30609215
30-06-2018,MAHARASHTRA,AURANGABAD,0.43,-,2.88,35.00917478
30-06-2018,MAHARASHTRA,DHULE,1.23,-,8.81,37.94801858
30-06-2018,MAHARASHTRA,KOLHAPUR,8.04,-,63.41,38.90554634
30-06-2018,MAHARASHTRA,RAIGARH,6.6,-,45.89,36.63361127
30-06-2018,MAHARASHTRA,AMRAVATI,0.93,-,6.93,37.89155452
30-06-2018,MAHARASHTRA,NANDED,0.62,-,4.63,39.33471105
30-06-2018,MAHARASHTRA,SOLAPUR,1.77,-,15.99,39.90168177
30-06-2018,MAHARASHTRA,AHMADNAGAR,1.08,-,8.4,37.22150157
30-06-2018,MAHARASHTRA,THANE,4.25,-,30.84,34.24762515
30-06-2018,MAHARASHTRA,SANGLI,3.65,-,29.32,37.63867146
30-06-2018,MAHARASHTRA,WARDHA,1.11,-,7.9,37.80173457
30-06-2018,MAHARASHTRA,BULDANA,1.5,-,9.4,37.37827289
30-06-2018,MAHARASHTRA,SINDHUDURG,8.4,-,56.33,39.23778482
29-06-2018,MAHARASHTRA,WASHIM,0.18,-,1.21,43.41399914
29-06-2018,MAHARASHTRA,SATARA,5.73,-,45.76,35.23978528
29-06-2018,MAHARASHTRA,PUNE,2.47,-,16.44,36.08648421
29-06-2018,MAHARASHTRA,PARBHANI,0.18,-,1.18,40.62957631
29-06-2018,MAHARASHTRA,JALNA,0.62,-,3.74,37.06977066
29-06-2018,MAHARASHTRA,GONDIYA,0.37,-,3.37,37.02123031
29-06-2018,MAHARASHTRA,MUMBAI,0,-,0,45.10808945
29-06-2018,MAHARASHTRA,NASHIK,1.56,-,10.46,32.52782607
29-06-2018,MAHARASHTRA,GARHCHIROLI,2.1,-,16.27,35.08845487
29-06-2018,MAHARASHTRA,RATNAGIRI,8.2,-,53.24,40.38202533
29-06-2018,MAHARASHTRA,OSMANABAD,2.22,-,22.71,37.50934431
29-06-2018,MAHARASHTRA,BID,1.55,-,13.96,36.93234927
29-06-2018,MAHARASHTRA,LATUR,5.26,-,48.74,39.84126096
29-06-2018,MAHARASHTRA,YAVATMAL,0.61,-,4.51,42.28890658
29-06-2018,MAHARASHTRA,BHANDARA,2.84,-,25.7,38.5011547
29-06-2018,MAHARASHTRA,MUMBAI SUBURBAN,1.11,-,9.59,44.38137919
29-06-2018,MAHARASHTRA,NANDURBAR,1.08,-,6.47,38.54580588
29-06-2018,MAHARASHTRA,NAGPUR,2.39,-,25.42,40.62684491
29-06-2018,MAHARASHTRA,CHANDRAPUR,1.88,-,14.61,41.06676534
29-06-2018,MAHARASHTRA,JALGAON,1.24,-,8.2,40.8370545
29-06-2018,MAHARASHTRA,HINGOLI,0.96,-,6.49,41.3873578
29-06-2018,MAHARASHTRA,AKOLA,1.07,-,7.74,44.71902954
29-06-2018,MAHARASHTRA,AURANGABAD,0.45,-,2.93,36.66849111
29-06-2018,MAHARASHTRA,DHULE,1.34,-,9.44,41.58189841
29-06-2018,MAHARASHTRA,KOLHAPUR,8.78,-,69.43,40.94295111
29-06-2018,MAHARASHTRA,RAIGARH,6.88,-,47.6,37.6473682
29-06-2018,MAHARASHTRA,AMRAVATI,1.28,-,9.82,40.91088831
29-06-2018,MAHARASHTRA,NANDED,0.77,-,5.59,42.14524285
29-06-2018,MAHARASHTRA,SOLAPUR,1.49,-,12.99,40.46355953
29-06-2018,MAHARASHTRA,AHMADNAGAR,0.97,-,7.27,35.65896408
29-06-2018,MAHARASHTRA,THANE,4.76,-,33.94,35.03897394
29-06-2018,MAHARASHTRA,SANGLI,3.47,-,28.02,36.11242044
