Date,State Name,DistrictName,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm)
31-01-2020,TELANGANA,ADILABAD,0,1906.67,0,23.18148872
31-01-2020,TELANGANA,NIZAMABAD,0,815.14,0,20.05119315
31-01-2020,TELANGANA,KHAMMAM,0,1529.11,0,18.44963766
31-01-2020,TELANGANA,HYDERABAD,0,2.81,0,3.062660728
31-01-2020,TELANGANA,WARANGAL,0,1317.37,0,19.97943899
31-01-2020,TELANGANA,NALGONDA,0,1293.74,0,17.77242858
31-01-2020,TELANGANA,KARIMNAGAR,0,1077.09,0,17.62007658
31-01-2020,TELANGANA,MAHBUBNAGAR,0,1580.13,0,16.595865
31-01-2020,TELANGANA,RANGAREDDY,0,777.77,0,19.9523087
31-01-2020,TELANGANA,MEDAK,0,1135.3,0,22.58404215
30-01-2020,TELANGANA,ADILABAD,0,1915.45,0,23.28829304
30-01-2020,TELANGANA,NIZAMABAD,0,819.87,0,20.1677613
30-01-2020,TELANGANA,KHAMMAM,0,1536.71,0,18.54140276
30-01-2020,TELANGANA,HYDERABAD,0,2.91,0,3.162795634
30-01-2020,TELANGANA,WARANGAL,0,1323.68,0,20.07514915
30-01-2020,TELANGANA,NALGONDA,0,1300.31,0,17.8626377
30-01-2020,TELANGANA,KARIMNAGAR,0,1081.6,0,17.69386961
30-01-2020,TELANGANA,MAHBUBNAGAR,0,1584.21,0,16.63874521
30-01-2020,TELANGANA,RANGAREDDY,0,781,0,20.03518472
30-01-2020,TELANGANA,MEDAK,0,1140.08,0,22.67906123
29-01-2020,TELANGANA,ADILABAD,0,1924.18,0,23.39444267
29-01-2020,TELANGANA,NIZAMABAD,0,824.69,0,20.28612582
29-01-2020,TELANGANA,KHAMMAM,0,1544.18,0,18.63144944
29-01-2020,TELANGANA,HYDERABAD,0,3.02,0,3.287556578
29-01-2020,TELANGANA,WARANGAL,0,1330.62,0,20.18037297
29-01-2020,TELANGANA,NALGONDA,0,1307.81,0,17.96571144
29-01-2020,TELANGANA,KARIMNAGAR,0,1086.29,0,17.77053445
29-01-2020,TELANGANA,MAHBUBNAGAR,0,1588.8,0,16.68695434
29-01-2020,TELANGANA,RANGAREDDY,0,784.29,0,20.11964672
29-01-2020,TELANGANA,MEDAK,0,1144.84,0,22.77372255
28-01-2020,TELANGANA,ADILABAD,0,1933.88,0,23.51233654
28-01-2020,TELANGANA,NIZAMABAD,0,832.09,0,20.46826697
28-01-2020,TELANGANA,KHAMMAM,0,1557.51,0,18.79238299
28-01-2020,TELANGANA,HYDERABAD,0,3.02,0,3.285711551
28-01-2020,TELANGANA,WARANGAL,0,1366.18,0,20.71966497
28-01-2020,TELANGANA,NALGONDA,0,1329.11,0,18.25831694
28-01-2020,TELANGANA,KARIMNAGAR,0,1089.74,0,17.82706275
28-01-2020,TELANGANA,MAHBUBNAGAR,0,1616.21,0,16.97491147
