Date,State Name,DistrictName,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm)
30-06-2018,ANDHRA PRADESH,PRAKASAM,0.53,-,3.68,33.57009924
30-06-2018,ANDHRA PRADESH,VIZIANAGARAM,4.3,-,34.71,43.98526679
30-06-2018,ANDHRA PRADESH,WEST GODAVARI,2.64,-,21.05,43.69860894
30-06-2018,ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,0.46,-,3.15,29.36286434
30-06-2018,ANDHRA PRADESH,ANANTAPUR,1.74,-,11.83,25.06873408
30-06-2018,ANDHRA PRADESH,KURNOOL,2.98,-,23.35,29.66133754
30-06-2018,ANDHRA PRADESH,KRISHNA,2.55,-,20.59,40.25721216
30-06-2018,ANDHRA PRADESH,SRIKAKULAM,4.55,-,36.54,41.65755696
30-06-2018,ANDHRA PRADESH,Y.S.R.,2.17,-,14.95,27.20190503
30-06-2018,ANDHRA PRADESH,CHITTOOR,3.78,-,25.19,31.59323858
30-06-2018,ANDHRA PRADESH,EAST GODAVARI,2.92,-,23.57,41.52806102
30-06-2018,ANDHRA PRADESH,GUNTUR,0.48,-,3.91,41.71647621
30-06-2018,ANDHRA PRADESH,VISAKHAPATNAM,2.89,-,22.95,40.6775399
29-06-2018,ANDHRA PRADESH,PRAKASAM,0.53,-,3.61,29.42503902
29-06-2018,ANDHRA PRADESH,VIZIANAGARAM,1.33,-,11.12,37.50504091
29-06-2018,ANDHRA PRADESH,WEST GODAVARI,0.49,-,4.2,39.65424865
29-06-2018,ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,0.47,-,3.23,28.26874812
29-06-2018,ANDHRA PRADESH,ANANTAPUR,1.88,-,12.83,25.59701009
29-06-2018,ANDHRA PRADESH,KURNOOL,3.21,-,25.15,29.37993684
29-06-2018,ANDHRA PRADESH,KRISHNA,1.39,-,11.42,36.26480019
