"State				",Season,Area_2017-18,Area_2018-19,Area_2019-20,Area_2020-21,Area_2021-22,Production_2017-18,Production_2018-19,Production_2019-20,Production_2020-21,Production_2021-22,Yield_2017-18,Yield_2018-19,Yield_2019-20,Yield_2020-21,Yield_2021-22
Andhra Pradesh,Kharif,21,13,22,22,14,16,6,22,19.01,13.01,762,462,1000,864,929
Arunachal Pradesh,Kharif,26.77,26.78,26.76,26.82,27.12,27.3,27.39,27.43,27.62,28.01,1020,1023,1025,1030,1033
"Assam	",Kharif,5.23,5.21,5.21,4.97,4.82,3.06,3.06,3.23,3.26,3.2,584,587,619,656,664
"Bihar	",Kharif,4.4,9.32,2.05,2.17,1.7,3.31,7,1.55,1.64,1.28,752,751,755,753,755
"Chhattisgarh	",Kharif,89.47,86.25,63.37,84.62,52.35,21.13,28.61,19.04,21.83,26.23,236,332,300,258,501
"Dadra And Nagar Haveli	",Kharif,0,0.09,0,,0,0,0.08,0,,0,0,933,0,,0
"Gujarat	",Kharif,13,1.3,0.29,8.46,11.51,15.73,1.24,0.16,13.04,22.88,1210,955,560,1541,1988
"Himachal Pradesh	",Kharif,4.1,5.01,5.21,2.41,1.67,3.31,4.06,4.64,2.34,1.14,807,810,890,972,680
"Jammu And Kashmir	",Kharif,6.19,4.99,7.92,8.11,2.12,3.08,1.7,0,2.14,0.86,497,341,0,264,404
"Karnataka	",Kharif,34,18.81,49,26,29,26.01,16.59,37.49,20.23,23.87,765,882,765,778,823
"Kerala	",Kharif,0.02,0.05,0.06,0.05,0.03,0.02,0.03,0.04,0.04,0.04,719,726,754,745,1206
"Madhya Pradesh	",Kharif,148,89,84,78,89,144,59,74,69.42,76.54,973,663,881,890,860
"Maharashtra	",Kharif,42,46.6,40.98,37,60.26,20.83,21.12,21.97,16.72,26.03,496,453,536,452,432
"Meghalaya	",Kharif,2.92,2.9,2.89,2.89,2.92,2.78,2.74,2.72,2.72,2.81,951,945,941,941,960
"Nagaland	",Kharif,10.52,8.82,8.83,8.83,7.41,11.7,9.97,9.98,9.98,7.26,1112,1130,1130,1130,980
"Odisha	",Kharif,29.18,32.78,32.87,35.25,38.37,14.94,16.98,16.99,18.01,19.61,512,518,517,511,511
"Puducherry	",Kharif,0.07,0.07,0.1,0.06,0.02,0.19,0.15,0.22,0.15,0.02,2783,2273,2274,2375,1200
"Rajasthan	",Kharif,10.48,10.42,10.12,6.5,6.7,7.34,10.6,5.24,4.29,4.24,701,1018,518,660,633
"Sikkim	",Kharif,2.47,2.11,2.28,2.05,0,2.55,2.18,2.37,2.13,0,1031,1032,1037,1038,0
"Tamil Nadu	",Kharif,25.26,22.25,25.85,24.47,22.98,31.28,34.99,37.34,30.51,29.83,1238,1573,1444,1247,1298
"Telangana	",Kharif,0,0,1,,0,0,0,1.71,0,0,0,0,1711,,0
"Tripura	",Kharif,0.49,0.58,0.46,1.62,1.64,0.39,0.47,0.38,1.3,1.33,783,799,830,801,812
"Uttarakhand	",Kharif,59,56,53,49,47,76,69.89,70.97,71,73.27,1288,1248,1339,1449,1559
"Uttar Pradesh	",Kharif,9,6,8,12,7,5.85,4.53,5.82,9.18,4.63,650,755,728,765,662
"West Bengal	",Kharif,2.7,5.42,6.1,0.76,1.29,2.2,4.61,5.54,0.38,1.35,815,850,907,502,1045
"All India	",Kharif,546.27,453.75,458.35,444.05,428.92,438.99,333,370.81,346.95,367.44,804,734,809,781,857
