"State	",Season,Area_2017-18,Area_2018-19,Area_2019-20,Area_2020-21,Area_2021-22,Production_2017-18,Production_2018-19,Production_2019-20,Production_2020-21,Production_2021-22,Yield_2017-18,Yield_2018-19,Yield_2019-20,Yield_2020-21,Yield_2021-22
"Andaman And Nicobar Islands	",total,0.04,0.03,0,0.04,0.04,0.04,0.05,0,0.11,0.11,862,1510,0,2680,2680
"Andhra Pradesh	",total,580,489,537,507,494,2776.14,1864.55,2531.17,2321.57,2258.41,4786,3813,4714,4579,4572
"Arunachal Pradesh	",total,77.56,77.78,78.52,77.98,81.34,104.54,105.42,107.63,107.95,113.41,1348,1355,1371,1384,1394
"Assam	",total,36.77,37.47,41.85,46.13,47.74,101.83,108.05,131.27,151.17,173.39,2769,2883,3137,3277,3632
"Bihar	",total,702.17,699.77,689.18,667.13,678.28,2385.25,2525.45,2020.88,2109.08,2689.47,3397,3609,2932,3161,3965
"Chandigarh	",total,0,0,0.08,0.01,0.01,0,0,0.24,0.02,0.03,0,0,3000,3000,2875
"Chhattisgarh	",total,233.27,217.75,201.85,207.52,188.63,347.25,331.53,370.51,368.45,423.1,1489,1523,1836,1775,2243
Dadra And Nagar Haveli,total,0.86,1.34,0.91,,0.85,1.46,1.68,1.5,,1.41,1700,1257,1650,,1667
"Daman And Diu	",total,0.43,0.5,0.33,0.5,0.5,0.58,0.65,0.37,0.75,0.76,1333,1306,1150,1509,1530
"Delhi	",total,4.74,4.72,4.71,4.35,4.33,6.65,6.56,6.52,8.41,6.8,1402,1391,1386,1935,1572
"Gujarat	",total,914,889.6,934.43,909.19,901,1782.18,1802.8,1786.28,1759.59,1995.31,1950,2027,1912,1935,2215
"Haryana	",total,524,485.8,540.82,616.37,514.75,833.81,972.76,1098.4,1417.58,1158.37,1591,2002,2031,2300,2250
"Himachal Pradesh	",total,305.97,313.96,314.93,291.37,284.49,750.27,767.53,767.72,764.49,814.97,2452,2445,2438,2624,2865
"Jammu And Kashmir	",total,327.14,298.74,293.86,314.42,310.56,559.93,594.15,551.67,519.57,591.8,1712,1989,1877,1652,1906
"Jharkhand	",total,317.65,277.29,273.44,318.92,305.48,617.87,468.04,525.12,669.51,653.43,1945,1688,1920,2099,2139
"Karnataka	",total,3438,3013.21,3262.6,3509,3230.4,6592.62,5519.87,6813.62,7931.22,7274.3,1918,1832,2088,2260,2252
"Kerala	",total,0.35,0.58,0.67,0.62,0.48,0.42,0.62,0.68,0.69,0.82,1198,1062,1016,1110,1708
Ladakh,total,0,0,0,5.98,9.97,0,0,0,3.69,21.94,0,0,0,617,2200
"Madhya Pradesh	",total,2211,1841,1921.89,1947,1971,5304.13,5147.2,5029.43,4953.65,5821.28,2399,2796,2617,2544,2953
"Maharashtra	",total,4242.3,3320.03,4223.91,4130.19,3707.93,5471.35,3096.69,4392.59,6082.11,5890.16,1290,933,1040,1473,1589
"Manipur	",total,26.93,26.38,2.22,25.53,22.47,63.1,58.17,4.94,59.73,50.91,2343,2205,2228,2340,2266
"Meghalaya	",total,21.08,21.07,21.06,21.08,21.12,44.4,44.41,44.47,44.55,44.69,2107,2108,2112,2113,2116
"Mizoram	",total,5.98,6.16,6.35,6.95,6.65,9.47,10.97,10.97,12.55,11.32,1584,1780,1727,1807,1703
"Nagaland	",total,81.39,79.79,79.86,79.92,48.45,150.34,148.78,149.05,149.42,70.23,1847,1865,1866,1870,1450
"Odisha	",total,126.09,130.85,141.51,161.25,203.49,170.19,169.14,237.06,281.81,352.85,1350,1293,1675,1748,1734
"Puducherry	",total,0.13,0.12,0.18,0.12,0.08,0.36,0.28,0.42,0.29,0.17,2820,2339,2358,2412,2221
"Punjab	",total,122.7,116.9,121.3,114.1,111.4,453.19,421.32,433.29,417.63,429.68,3693,3604,3572,3660,3857
"Rajasthan	",total,5906.6,5825.77,6132.48,6177.43,5514.98,6732.22,6993.32,7333.29,8360.94,7035.67,1140,1200,1196,1353,1276
"Sikkim	",total,41.35,40.68,41.07,40.79,40.32,70.95,69.82,70.73,70.49,69.99,1716,1716,1722,1728,1736
"Tamil Nadu	",total,884.96,924.14,961.44,980.43,954.69,3518.36,3707.97,3493.23,3469.99,3592.42,3976,4012,3633,3539,3763
"Telangana	",total,707,608,661,361,486.1,2639.3,2155.72,3138.89,1922.9,2349.24,3733,3546,4749,5327,4833
"Tripura	",total,17.09,17.53,15.97,23.59,21.34,23.57,23.93,24.07,44.2,41.64,1379,1365,1507,1874,1951
"Uttarakhand	",total,204,192,182,180,174,286.88,251.67,265.77,270.32,281.87,1406,1311,1460,1502,1620
"Uttar Pradesh	",total,1971,1914,1989,2023,1995,4016.81,3948.85,4388.53,4604.39,4347.26,2038,2063,2206,2276,2179
"West Bengal	",total,253.93,273.8,311.51,368.11,368.39,1154.72,1741.48,2018.05,2443.6,2533.47,4547,6360,6478,6638,6877
"All India	",total,24286.48,22145.73,23987.9,24117.85,22700.23,46970.19,43059.41,47748.37,51323.8,51100.65,1934,1944,1991,2128,2251
