"State		",Season,Area_2017-18,Area_2018-19,Area_2019-20,Area_2020-21,Area_2021-22,Production_2017-18,Production_2018-19,Production_2019-20,Production_2020-21,Production_2021-22,Yield_2017-18,Yield_2018-19,Yield_2019-20,Yield_2020-21,Yield_2021-22
"Andaman And Nicobar Islands	",Kharif,0,0.28,0,0,0,0,0.1,0,0,0,500,370,0,100,100
"Andhra Pradesh	",Kharif,279,250,243,231,251,119.97,45.5,118.1,83.85,68.02,430,182,486,363,271
"Arunachal Pradesh	",Kharif,0.81,0.82,0.82,0,0.85,0.66,0.71,0.71,0,0.75,825,864,869,0,879
"Assam	",Kharif,5.61,5.55,5.83,6.04,5.81,4.67,4.62,5.04,5.17,4.98,833,833,864,856,858
"Bihar	",Kharif,18.49,17.1,16.75,14.6,12.99,28.62,31.67,28.16,23.45,20.87,1548,1852,1681,1606,1607
"Chhattisgarh	",Kharif,57.71,67.53,51.16,45.36,43.44,34.68,32.41,32.13,27.17,24.93,601,480,628,599,574
"Dadra And Nagar Haveli	",Kharif,1.55,1.52,1.4,0,0,1.55,2.03,1.4,0,0,1000,1335,1000,0,0
"Daman And Diu	",Kharif,0,0,0.04,0,0,0,0,0.04,0,0,0,0,1000,0,0
"Gujarat	",Kharif,271,254.35,212.7,241.02,250.84,336.85,307.51,210.79,285.85,291.23,1243,1209,991,1186,1161
"Haryana	",Kharif,4.1,1.9,1.11,0.82,1.15,4.5,2.3,1.24,1.03,1.36,1097,1211,1120,1250,1181
"Himachal Pradesh	",Kharif,0.05,0.05,0.08,0.01,0.02,0.02,0.02,0.05,0.01,0.01,511,510,650,875,875
"Jharkhand	",Kharif,193.68,231.04,230.56,235.39,253.64,222.21,234.27,241.63,259.87,286.36,1147,1014,1048,1104,1129
"Karnataka	",Kharif,885,1482.95,1545,1631,1719,762.29,947.61,1126.31,1237.93,1144.85,861,639,729,759,666
"Kerala	",Kharif,0.21,0.27,0.31,0.2,0.18,0.32,0.44,0.52,0.33,0.3,1560,1674,1668,1647,1652
"Madhya Pradesh	",Kharif,647,213,249,219,225,839,180.2,274.65,285.8,189.9,1297,846,1103,1305,844
"Maharashtra	",Kharif,1240.7,1261.3,1195.5,1274.02,1335.1,1127.8,834.48,1084.32,1327.53,1391.17,909,662,907,1042,1042
"Manipur	",Kharif,0.53,0.53,0.51,0.56,0.55,0.6,0.56,0.46,0.57,0.54,1132,1055,898,1018,982
"Meghalaya	",Kharif,1.18,1.18,1.18,1.19,1.19,1.53,1.53,1.53,1.55,1.56,1295,1295,1298,1302,1305
"Mizoram	",Kharif,0.24,0.33,0.34,0.4,0.37,0.25,0.33,0.32,0.42,0.38,1031,1006,940,1030,1022
"Nagaland	",Kharif,3.2,3.21,3.21,3.21,0.43,2.92,2.92,2.92,2.95,0.38,913,910,910,919,880
"Odisha	",Kharif,137.89,144.06,128.63,129.69,126.06,123.69,147.23,144.58,151.22,130.6,897,1022,1124,1166,1036
"Punjab	",Kharif,2.6,2.3,2,1.8,1.4,2.68,2.41,2.19,2.09,1.42,1030,1047,1095,1163,1014
"Rajasthan	",Kharif,12.45,9.66,8.86,7.77,7.36,12.66,9.09,5.19,6.83,6.74,1017,941,586,879,915
"Tamil Nadu	",Kharif,49.23,41.38,41.81,47.33,48.31,53.81,51.64,53.22,49.63,45.22,1093,1248,1273,1049,936
"Telangana	",Kharif,330,296,295,325.7,314,263.34,191.51,266.39,252.42,241.47,798,647,903,775,769
"Tripura	",Kharif,5.59,5.63,4.83,4.84,5.27,4.13,4.28,3.88,3.78,4.13,738,759,802,780,783
"Uttarakhand	",Kharif,4,3,3,3,3,3.87,2.42,2.55,3.56,3.2,967,805,851,1185,1066
"Uttar Pradesh	",Kharif,282,251,285,296,290,331.35,272.08,279.3,297.48,354.67,1175,1084,980,1005,1223
"West Bengal	",Kharif,4.5,3.61,4.85,4.49,3.29,5.85,5.56,4.13,5.43,5.16,1300,1543,852,1210,1569
"All India	",Kharif,4438.31,4549.54,4532.47,4724.45,4900.26,4289.82,3315.44,3891.73,4315.9,4220.19,967,729,859,914,861
