"State			",Season,Area_2017-18,Area_2018-19,Area_2019-20,Area_2020-21,Area_2021-22,Production_2017-18,Production_2018-19,Production_2019-20,Production_2020-21,Production_2021-22,Yield_2017-18,Yield_2018-19,Yield_2019-20,Yield_2020-21,Yield_2021-22
"Andaman And Nicobar Islands	",Kharif,0,0.18,0,0,0,0,0.03,0,0,0,0,160,0,0,0
"Andaman And Nicobar Islands	",Rabi,0.35,0,0.16,0.41,0.41,0.12,0,0.08,0.17,0.17,327,0,533,400,400
"Andaman And Nicobar Islands	",Total,0.35,0.18,0.16,0.41,0.41,0.12,0.03,0.08,0.17,0.17,327,160,533,400,400
"Andhra Pradesh	",Kharif,46,22,15,32,39,37.86,17.82,14.03,25.22,31.55,823,810,935,788,809
"Andhra Pradesh	",Rabi,357,296,288,361,362,333.08,292.74,315.07,339.7,393.13,933,989,1094,941,1086
"Andhra Pradesh	",Total,403,318,303,393,401,370.94,310.56,329.1,364.92,424.68,920,977,1086,929,1059
"Arunachal Pradesh	",Kharif,1.13,0,1.15,1.15,1.17,0.99,0,1.04,1.05,1.08,871,0,905,915,919
"Arunachal Pradesh	",Rabi,1.43,0,1.45,1.46,1.47,1.29,0,1.4,1.42,1.44,897,0,963,975,979
"Arunachal Pradesh	",Total,2.57,0,2.6,2.61,2.64,2.27,0,2.44,2.47,2.52,886,0,937,949,952
"Assam	",Rabi,61.46,59.87,58.1,56.19,57.01,39.83,39.81,34.74,36.58,37.68,648,665,598,651,661
"Bihar	",Kharif,7.92,8.18,7.1,10.57,6.43,7.05,7.31,6.29,9.4,5.98,890,894,886,890,930
"Chhattisgarh	",Kharif,92.71,84.2,72.05,81.16,67.18,29.76,27.87,24.06,30.03,24.72,321,331,334,370,368
"Chhattisgarh	",Rabi,5.25,5,3.39,2.05,2.86,1.43,1.47,0.93,0.8,1.08,272,293,273,390,377
"Chhattisgarh	",Total,97.96,89.2,75.44,83.21,70.04,31.19,29.34,24.99,30.83,25.8,318,329,331,370,368
"Dadra And Nagar Haveli	",Kharif,0.9,1.13,0.9,0,0,0.9,1.02,0.86,0,0,1000,902,960,0,0
"Daman And Diu	",Kharif,0,0,0.15,0,0,0,0,0.17,0,0,0,0,1100,0,0
"Gujarat	",Kharif,128,106.16,86.47,98.99,154.82,81.28,67.94,52.31,65.83,91.81,635,640,605,665,593
"Gujarat	",Rabi,8,3.8,13.46,18.45,25.55,5.24,5.62,21.33,21.73,38.2,655,1478,1585,1178,1495
"Gujarat	",Total,136,109.96,99.93,117.44,180.37,86.52,73.56,73.65,87.55,130.01,636,669,737,746,721
"Haryana	",Kharif,0,1,0.03,0.24,0.25,0,0.4,0.01,0.13,0.13,0,400,391,560,509
"Himachal Pradesh	",Kharif,6.92,7,7.02,6.98,6.35,4.62,4.69,5.12,5.02,4.57,667,670,730,719,719
"Jharkhand	",Kharif,147.19,128.66,128.44,131.68,133.33,128.64,108.2,111.61,114.82,120.39,874,841,869,872,903
"Karnataka	",Kharif,132,80.75,65,85,75,67.32,41.02,32.18,49.05,36.98,510,508,495,577,493
"Karnataka	",Rabi,4,3.8,3.2,4.01,4,1.5,1.9,1.1,2.2,2.12,375,500,344,549,529
"Karnataka	",Total,136,84.55,68.2,89.01,79,68.82,42.92,33.28,51.25,39.09,506,508,488,576,495
"Kerala	",Kharif,0,0,,,0,0,0,,,0,0,0,,,1000
"Kerala	",Rabi,,,,,0.4,,,,,0.31,,,,,785
"Kerala	",Total,,,,,0.4,,,,,0.31,,,,,786
